Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,Male,City,Country,Timestamp,Clicked on Ad
84.54,35,64902.47,204.02,Synchronized stable complexity,1,Qinzhou,China,02/03/2020 10:07,0
46.08,32,66784.81,164.63,Synergistic value-added extranet,1,Jaipur,India,21/07/2020 10:54,1
56.7,49,62784.85,123.13,Progressive non-volatile neural-net,0,Xinzhou,China,09/01/2020 04:53,1
81.03,30,63727.5,201.15,Persevering tertiary capability,0,Addis Ababa,Ethiopia,06/01/2020 13:20,0
80.91,34,61608.23,231.42,Enterprise-wide bi-directional secured line,0,Giza,Egypt,31/01/2020 04:10,0
40.06,37,56782.18,138.68,Organized contextually-based customer loyalty,1,Meishan,China,11/06/2020 08:38,1
83.47,38,64447.77,226.11,Total directional approach,0,Brasilia,Brazil,15/05/2020 20:48,0
73.84,33,42042.95,121.05,Programmable uniform productivity,0,Mashhad,Iran,18/06/2020 17:23,1
74.65,30,67669.06,212.56,Robust transitional ability,0,Jinzhou,China,17/03/2020 05:00,0
60.25,36,54875.95,109.77,De-engineered fault-tolerant database,0,Tieling,China,29/06/2020 13:35,1
59.21,37,73347.67,144.62,Managed disintermediate matrices,1,Shaoguan,China,02/02/2020 08:55,1
43.02,42,50199.77,125.22,Configurable bottom-line application,0,Shanwei,China,13/04/2020 05:42,1
84.04,36,50723.67,244.55,Self-enabling didactic pricing structure,0,Minneapolis,United States,20/07/2020 09:27,0
70.66,41,63450.96,120.95,Versatile scalable encryption,1,Kyiv,Ukraine,26/02/2020 04:57,1
70.58,25,56694.12,136.94,Proactive next generation knowledge user,0,Sanaa,Yemen,26/02/2020 09:18,1
72.44,36,70547.16,230.14,Customizable tangible hierarchy,0,Quezon City,Philippines,15/04/2020 14:45,0
40.17,24,47391.95,171.31,Visionary asymmetric encryption,1,Dingxi,China,01/02/2020 14:37,1
79.15,25,62312.23,203.23,Intuitive explicit conglomeration,0,Salvador,Brazil,20/01/2020 19:09,0
44.49,55,63100.13,168,Business-focused real-time toolset,1,Incheon,"Korea, South",23/04/2020 06:28,1
73.04,39,73687.5,221.79,Organic contextually-based focus group,1,Bursa,Turkey,19/06/2020 22:26,0
76.28,35,52686.47,254.34,Right-sized asynchronous website,0,Ningde,China,15/02/2020 07:55,0
68.88,36,78119.5,179.58,Advanced 5thgeneration capability,0,Tampa,United States,09/02/2020 19:37,0
73.1,30,57014.84,242.37,Universal asymmetric archive,0,Daqing,China,25/01/2020 07:52,0
47.66,30,27086.4,156.54,Devolved responsive structure,0,Birmingham,United Kingdom,18/07/2020 11:33,1
87.3,36,58337.18,216.87,Triple-buffered regional toolset,0,Putian,China,09/01/2020 07:28,0
89.34,33,50216.01,177.78,Object-based executive productivity,1,Huzhou,China,21/03/2020 21:15,0
81.37,24,53049.44,156.48,Business-focused responsive website,1,Wuzhou,China,15/02/2020 12:25,0
81.67,29,62927.96,196.76,Visionary analyzing structure,1,Denver,United States,04/03/2020 08:48,0
46.37,51,32847.53,144.27,De-engineered solution-oriented open architecture,0,Rome,Italy,05/01/2020 00:02,1
54.88,22,32006.82,148.61,Customizable modular Internet solution,0,La Paz,Bolivia,15/05/2020 01:03,1
40.67,33,48913.07,133.18,Stand-alone encompassing throughput,0,Pyongyang,"Korea, North",05/05/2020 09:28,1
71.76,33,69285.69,237.39,Customizable zero-defect matrix,0,Kano,Nigeria,26/05/2020 13:18,0
47.51,51,53700.57,130.41,Managed well-modulated collaboration,1,Taichung,Taiwan,21/05/2020 01:36,1
75.15,24,52011,212.87,Universal global intranet,1,Omdurman,Sudan,04/05/2020 12:06,0
56.01,28,46339.25,127.26,Re-engineered real-time success,0,Zigong,China,05/07/2020 18:59,1
82.87,36,67938.77,213.36,Front-line fresh-thinking open system,0,Qinhuangdao,China,28/06/2020 20:13,0
45.05,41,66348.95,141.36,Digitized contextually-based product,0,Mudanjiang,China,05/05/2020 11:09,1
60.53,24,66873.9,167.22,Organic interactive support,0,Huludao,China,25/03/2020 15:17,1
50.52,33,72270.88,171.62,Function-based stable alliance,0,Kaohsiung,Taiwan,23/01/2020 15:02,1
84.71,32,61610.05,210.23,Reactive responsive emulation,0,Xiangtan,China,29/05/2020 07:29,0
55.2,38,76560.59,159.46,Exclusive zero tolerance alliance,1,Guayaquil,Ecuador,30/05/2020 07:36,1
81.61,35,62667.51,228.76,Enterprise-wide local matrices,0,Rizhao,China,17/04/2020 15:46,0
71.55,37,75687.46,163.99,Inverse next generation moratorium,1,Manchester,United Kingdom,20/07/2020 23:08,0
82.4,38,66744.65,218.97,Implemented bifurcated workforce,1,Cawnpore,India,29/06/2020 03:07,0
73.95,36,67714.82,238.58,Persevering even-keeled help-desk,0,Baotou,China,10/04/2020 14:48,0
72.07,32,69710.51,226.45,Grass-roots eco-centric instruction set,0,Taipei,Taiwan,16/04/2020 16:38,0
80.39,33,66269.49,214.74,Fully-configurable incremental Graphical User Interface,0,Nanping,China,03/05/2020 08:21,0
65.8,27,60843.32,231.49,Expanded radical software,1,Longyan,China,18/03/2020 16:04,0
69.97,29,55041.6,250,Mandatory 3rdgeneration moderator,0,Ibadan,Nigeria,22/05/2020 00:01,0
52.62,50,73863.25,176.52,Enterprise-wide foreground emulation,0,Hohhot,China,01/02/2020 20:30,1
39.25,40,62378.05,152.36,Customer-focused incremental system engine,0,Chaozhou,China,23/01/2020 17:39,1
77.56,39,63336.85,130.83,Right-sized multi-tasking solution,1,Antananarivo,Madagascar,19/05/2020 03:52,1
33.52,45,42191.61,165.56,Vision-oriented optimizing middleware,0,Longba,China,09/05/2020 21:54,1
79.81,22,56194.56,178.85,Proactive context-sensitive project,1,Weihai,China,31/05/2020 11:44,1
84.79,35,61771.9,214.53,Managed eco-centric encoding,0,Chattogram,Bangladesh,30/03/2020 19:09,0
82.7,34,61383.79,231.07,Visionary multi-tasking alliance,0,Santo Domingo,Dominican Republic,09/01/2020 15:49,0
84.88,33,63924.82,186.48,Ameliorated tangible hierarchy,0,Xuanzhou,China,18/04/2020 03:41,0
54.92,56,23975.35,161.16,Extended interactive model,0,Sanming,China,13/06/2020 13:59,1
76.56,36,70179.11,221.53,Universal bi-directional extranet,1,Brooklyn,United States,23/04/2020 08:15,0
69.74,48,66524.8,243.37,Enhanced maximized access,0,Medellin,Colombia,27/03/2020 16:41,0
75.55,21,41851.38,169.4,Upgradable even-keeled challenge,0,Brisbane,Australia,19/02/2020 07:29,1
72.19,31,61275.18,250.35,Synchronized national infrastructure,1,Baoshan,China,19/05/2020 11:16,0
84.29,42,60638.38,232.54,Re-contextualized systemic time-frame,0,Dubai,United Arab Emirates,27/01/2020 20:47,0
73.89,39,47160.53,110.68,Horizontal national architecture,0,Luohe,China,20/04/2020 00:41,1
75.84,19,48537.18,186.98,Reactive bi-directional workforce,0,Qinbaling,China,07/02/2020 07:41,0
73.38,23,53058.91,236.19,Horizontal transitional challenge,1,Mirzapur,India,21/04/2020 09:30,0
80.72,31,68614.98,186.37,Re-engineered neutral success,0,Guangyuan,China,19/04/2020 05:15,0
62.06,42,44174.25,105,Adaptive contextually-based methodology,0,Cali,Colombia,12/04/2020 14:01,1
51.5,34,67050.16,135.31,Configurable dynamic adapter,0,Daegu,"Korea, South",15/03/2020 11:25,1
90.97,37,54520.14,180.77,Multi-lateral empowering throughput,0,Fortaleza,Brazil,16/02/2020 18:21,0
86.78,30,54952.42,170.13,Fundamental zero tolerance solution,1,Guatemala City,Guatemala,18/02/2020 23:08,0
66.18,37,69476.42,243.61,Proactive asymmetric definition,0,Yaounde,Cameroon,25/03/2020 08:40,0
84.33,42,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,0,Douala,Cameroon,16/03/2020 00:28,0
36.87,38,29398.61,195.91,Self-enabling incremental collaboration,0,Jilin,China,28/01/2020 11:50,1
34.78,49,42861.42,208.21,Exclusive even-keeled moratorium,1,Lianshan,China,24/03/2020 02:01,1
76.84,33,65883.39,231.59,Reduced incremental productivity,0,Lincang,China,03/03/2020 22:31,0
67.05,23,65421.39,220.92,Realigned scalable standardization,0,Antalya,Turkey,26/02/2020 09:54,0
41.47,32,60953.93,219.79,Secured scalable Graphical User Interface,0,Tashkent,Uzbekistan,06/07/2020 15:56,1
80.71,25,58476.57,200.58,Team-oriented context-sensitive installation,0,Huangshi,China,24/06/2020 05:50,0
80.09,33,66636.84,214.08,Pre-emptive systematic budgetary management,0,Bandung,Indonesia,23/05/2020 21:00,0
56.3,48,67430.96,135.24,Fully-configurable high-level implementation,1,Nagpur,India,03/02/2020 19:12,1
79.36,36,57260.41,245.78,Profound maximized workforce,1,Dandong,China,28/04/2020 22:54,0
86.38,41,66359.32,188.27,Cross-platform 4thgeneration focus group,1,Huainan,China,19/03/2020 14:57,0
38.94,40,57587,142.67,Optional mission-critical functionalities,1,Shangzhou,China,15/07/2020 09:08,1
87.26,36,63060.55,184.03,Multi-layered tangible portal,0,Bekasi,Indonesia,12/05/2020 04:35,0
75.32,26,59998.5,233.6,Reduced mobile structure,1,Ghaziabad,India,01/01/2020 21:58,0
74.38,38,74024.61,220.05,Enhanced zero tolerance Graphic Interface,1,Tijuana,Mexico,13/03/2020 13:50,0
65.9,21,60550.66,211.39,De-engineered tertiary secured line,0,Jiamusi,China,16/07/2020 14:13,0
36.31,47,57983.3,168.92,Reverse-engineered well-modulated capability,0,Yangjiang,China,18/04/2020 00:49,1
72.23,49,52736.33,115.35,Integrated coherent pricing structure,0,Accra,Ghana,17/07/2020 01:13,1
88.12,37,46653.75,230.91,Realigned next generation projection,0,Yuxi,China,17/02/2020 07:05,0
83.97,28,56986.73,205.5,Reactive needs-based instruction set,1,Fushun,China,16/06/2020 02:33,0
61.09,24,55336.18,131.68,User-friendly well-modulated leverage,1,Anshun,China,09/04/2020 16:31,1
65.77,19,42162.9,218.61,Function-based fault-tolerant model,1,Vancouver,Canada,18/03/2020 17:35,0
81.58,24,39699.13,199.39,Decentralized needs-based analyzer,0,Tangerang,Indonesia,11/05/2020 22:02,0
37.87,52,56394.82,188.56,Phased analyzing emulation,1,Konya,Turkey,25/05/2020 20:10,1
76.2,39,75044.35,178.51,Multi-layered fresh-thinking process improvement,0,Queens,United States,29/02/2020 19:26,0
60.91,18,53309.61,184.94,Upgradable directional system engine,0,Yingkou,China,09/06/2020 14:24,1
74.49,28,58996.12,237.34,Persevering eco-centric flexibility,0,Adana,Turkey,30/01/2020 16:15,0
73.71,22,56605.12,211.38,Inverse local hub,1,Medan,Indonesia,15/02/2020 05:35,0
78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,0,Sanmenxia,China,31/01/2020 06:14,0
79.54,42,70492.6,217.68,Centralized multi-state hierarchy,1,Indore,India,05/01/2020 16:34,0
74.87,54,43698.53,126.97,Public-key non-volatile implementation,0,Ma'anshan,China,31/05/2020 02:17,1
87.09,38,57737.51,221.98,Synergized coherent interface,1,Pingliang,China,21/04/2020 16:10,0
37.45,48,31281.01,167.86,Horizontal high-level concept,0,Quzhou,China,10/04/2020 03:30,1
49.84,39,45800.48,111.59,Reduced multimedia project,0,Baku,Azerbaijan,09/02/2020 07:21,1
51.38,57,42362.49,158.56,Object-based modular functionalities,0,Gaoping,China,17/06/2020 17:11,1
83.4,35,66691.23,207.87,Polarized multimedia system engine,0,Huaibei,China,22/05/2020 21:54,0
38.91,35,56369.74,150.8,Versatile reciprocal structure,1,Xining,China,13/07/2020 07:41,1
62.14,39,59397.89,110.93,Upgradable multi-tasking initiative,1,Yan'an,China,23/01/2020 18:59,1
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,1,Havana,Cuba,20/05/2020 12:17,0
73.3,35,68211.35,135.72,Adaptive asynchronous attitude,1,Phnom Penh,Cambodia,30/01/2020 04:38,1
69.11,44,73608.99,231.48,Face-to-face mission-critical definition,1,Fukuoka,Japan,21/04/2020 12:34,0
71.9,55,61228.96,140.15,Inverse zero tolerance customer loyalty,1,Mogadishu,Somalia,22/04/2020 20:32,1
72.45,28,72325.91,195.36,Centralized 24hour synergy,1,Jincheng,China,11/01/2020 06:02,0
77.07,42,44559.43,261.02,Face-to-face analyzing encryption,0,Lishui,China,01/03/2020 10:01,0
74.62,34,73207.15,217.79,Self-enabling even-keeled methodology,0,Qingyang,China,04/04/2020 08:19,0
82.07,23,46722.07,205.38,Function-based optimizing extranet,1,Riverside,United States,20/06/2020 06:30,0
58.6,48,45400.5,113.7,Organic asynchronous hierarchy,0,Baltimore,United States,28/01/2020 07:10,1
36.08,47,41417.27,151.47,Automated client-driven orchestration,1,Haiphong,Vietnam,03/07/2020 04:11,1
79.44,25,60845.55,206.79,Public-key zero-defect analyzer,0,Las Vegas,United States,15/05/2020 13:18,0
41.73,48,60812.77,144.71,Proactive client-server productivity,0,Laibin,China,08/04/2020 22:48,1
73.19,23,64267.88,203.74,Cloned incremental matrices,1,Rawalpindi,Pakistan,19/01/2020 12:18,0
77.6,23,58151.87,197.33,Open-architected system-worthy task-force,1,Kumasi,Ghana,26/05/2020 15:40,0
89,36,52079.18,222.26,Devolved regional moderator,1,Portland,United States,26/01/2020 15:56,0
69.2,44,26023.99,123.8,Balanced value-added database,0,Vadodara,India,17/06/2020 09:58,1
67.56,31,62318.38,125.45,Seamless composite budgetary management,0,Perth,Australia,25/04/2020 21:15,1
81.11,40,56216.57,248.19,Total cohesive moratorium,1,Puning,China,13/07/2020 11:41,0
80.22,29,61806.31,224.58,Integrated motivating neural-net,0,San Antonio,United States,05/07/2020 15:14,0
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,1,Haikou,China,15/03/2020 14:06,1
77.66,28,67080.94,168.15,Operative scalable emulation,0,Vishakhapatnam,India,19/06/2020 22:08,0
74.63,25,51975.41,235.99,Enhanced asymmetric installation,1,Gaziantep,Turkey,05/07/2020 20:16,0
49.67,29,28019.09,153.69,Face-to-face reciprocal methodology,0,Minsk,Belarus,09/05/2020 08:44,1
80.59,38,67744.56,224.23,Robust responsive collaboration,0,St. Louis,United States,21/07/2020 23:14,0
83.49,34,66574,190.75,Polarized logistical hub,1,Bamako,Mali,03/06/2020 17:32,0
44.46,42,30487.48,132.66,Intuitive zero-defect framework,1,Quito,Ecuador,15/01/2020 19:40,1
68.1,39,74903.41,227.73,Reactive composite project,1,Pingxiang,China,05/02/2020 16:50,0
63.88,39,19991.72,136.85,Upgradable even-keeled hardware,0,Chongzuo,China,29/02/2020 23:56,1
78.83,38,66050.63,234.64,Future-proofed responsive matrix,1,Sanliurfa,Turkey,08/05/2020 12:08,0
79.97,42,70449.04,216,Programmable empowering middleware,0,Kananga,Congo (Kinshasa),13/07/2020 01:48,0
80.51,30,64008.55,200.28,Robust dedicated system engine,1,Peshawar,Pakistan,08/01/2020 02:34,0
62.26,28,70203.74,202.77,Public-key mission-critical core,0,Sapporo,Japan,08/06/2020 12:25,0
66.99,49,27262.51,124.44,Operative actuating installation,1,Jixi,China,15/06/2020 11:56,1
71.05,19,49544.41,204.22,Self-enabling asynchronous knowledge user,1,Caracas,Venezuela,13/06/2020 22:41,0
42.05,51,28357.27,174.55,Configurable 24/7 hub,1,Fuxin,China,20/06/2020 14:20,1
50.52,29,66929.03,219.69,Versatile responsive knowledge user,0,Leeds,United Kingdom,03/04/2020 06:17,1
76.24,42,75524.78,198.32,Managed impactful definition,1,Sacramento,United States,31/05/2020 23:42,0
77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,1,Blantyre,Malawi,15/02/2020 03:43,0
35.98,47,55993.68,165.52,Focused 3rdgeneration pricing structure,1,Tainan,Taiwan,10/03/2020 23:26,1
84.95,36,56379.3,230.36,Mandatory dedicated data-warehouse,0,Bucharest,Romania,26/02/2020 17:01,0
39.34,43,31215.88,148.93,Proactive radical support,0,Wuwei,China,17/04/2020 21:39,1
87.23,28,51015.11,202.12,Re-engineered responsive definition,0,Bhopal,India,26/03/2020 19:54,0
57.24,54,46473.14,117.35,Profound optimizing utilization,1,Curitiba,Brazil,29/06/2020 21:39,1
81.58,39,55479.62,248.16,Cloned explicit middleware,0,Xiping,China,27/01/2020 17:55,0
56.34,52,68713.7,139.02,Multi-channeled mission-critical success,1,Asuncion,Paraguay,17/03/2020 23:39,1
48.73,25,34191.23,142.04,Versatile content-based protocol,0,Saidu Sharif,Pakistan,09/07/2020 16:23,1
51.68,50,51067.54,258.62,Seamless cohesive conglomeration,0,Vienna,Austria,28/06/2020 12:51,1
35.34,43,46693.76,152.86,De-engineered actuating hierarchy,0,Aleppo,Syria,18/06/2020 16:32,1
48.09,31,19345.36,180.42,Balanced motivating help-desk,0,Hamburg,Germany,28/05/2020 12:38,1
78.68,31,66225.72,208.05,Inverse high-level capability,0,Meru,Kenya,16/01/2020 16:40,0
68.82,18,38609.2,205.64,Cross-platform client-server hierarchy,1,Brazzaville,Congo (Brazzaville),11/07/2020 15:45,0
56.99,42,37713.23,108.15,Sharable optimal capacity,0,Orlando,United States,16/07/2020 23:08,1
86.63,37,63764.28,209.64,Face-to-face multimedia success,1,Mersin,Turkey,06/04/2020 21:20,0
41.18,44,41866.55,129.25,Enterprise-wide incremental Internet solution,1,Almaty,Kazakhstan,05/07/2020 00:54,1
71.03,31,57846.68,120.85,Advanced systemic productivity,0,Barranquilla,Colombia,17/02/2020 23:47,1
72.92,31,69428.73,217.1,Customizable mission-critical adapter,1,Kyoto,Japan,15/03/2020 17:33,0
77.14,22,60283.98,184.88,Horizontal heuristic synergy,1,Manaus,Brazil,21/01/2020 18:51,0
60.7,41,79332.33,192.6,Multi-tiered multi-state moderator,1,Liaoyang,China,06/06/2020 22:41,0
34.3,43,53167.68,160.74,Re-contextualized reciprocal interface,1,Baiyin,China,16/05/2020 14:50,1
83.71,45,64564.07,220.48,Organized demand-driven knowledgebase,1,San Jose,United States,17/04/2020 19:10,0
53.38,35,60803.37,120.06,Total local synergy,1,Warsaw,Poland,30/03/2020 01:05,1
58.03,32,28387.42,129.33,User-friendly bandwidth-monitored attitude,0,Shengli,China,29/06/2020 09:04,1
43.59,35,58849.77,132.31,Re-engineered context-sensitive knowledge user,1,Lubumbashi,Congo (Kinshasa),26/05/2020 13:43,1
60.07,40,65963.37,120.75,Total user-facing hierarchy,1,Damascus,Syria,15/04/2020 10:16,1
54.43,37,75180.2,154.74,Balanced contextually-based pricing structure,1,Shuyangzha,China,31/05/2020 09:06,1
81.99,33,61270.14,230.9,Inverse bi-directional knowledge user,0,Shangqiu,China,15/02/2020 14:13,0
60.53,27,56759.48,123.28,Networked even-keeled workforce,0,Esfahan,Iran,09/05/2020 10:21,1
84.69,32,46160.63,231.85,Right-sized transitional parallelism,1,Budapest,Hungary,07/07/2020 23:32,0
88.72,31,43870.51,211.87,Customer-focused system-worthy superstructure,1,Heihe,China,03/01/2020 17:10,0
88.89,34,50439.49,218.8,Balanced 4thgeneration success,1,Lusaka,Zambia,17/07/2020 18:55,0
69.58,41,28028.74,255.07,Cross-group value-added success,0,Diyarbakir,Turkey,04/04/2020 18:36,1
85.23,37,64238.71,212.92,Visionary client-driven installation,1,Chinchvad,India,27/02/2020 12:34,0
83.55,39,65816.38,221.18,Switchable well-modulated infrastructure,1,Shuozhou,China,08/06/2020 20:13,0
56.66,40,72684.44,139.42,Upgradable asymmetric emulation,0,Vitoria,Brazil,20/02/2020 10:52,1
56.39,28,38817.4,248.12,Configurable tertiary capability,1,Cleveland,United States,23/03/2020 21:06,0
76.24,28,63976.44,214.42,Monitored dynamic instruction set,0,Pittsburgh,United States,07/06/2020 01:29,0
57.64,36,37212.54,110.25,Robust web-enabled attitude,1,Mecca,Saudi Arabia,18/01/2020 15:18,1
78.18,21,52691.79,167.67,Customer-focused full-range neural-net,0,Patna,India,09/06/2020 19:32,0
46.04,30,65499.93,147.92,Universal transitional Graphical User Interface,0,Mosul,Iraq,30/05/2020 20:07,1
79.4,34,63966.72,236.87,User-centric intangible contingency,0,Austin,United States,01/04/2020 09:21,0
36.44,40,52400.88,147.64,Configurable disintermediate throughput,1,Sanzhou,China,31/05/2020 06:21,1
53.14,40,49111.47,109,Automated web-enabled migration,1,Conakry,Guinea,03/07/2020 22:13,1
32.84,42,41232.89,171.72,Triple-buffered 3rdgeneration migration,0,Kampala,Uganda,10/03/2020 01:36,1
73.72,33,52140.04,256.4,Universal contextually-based system engine,1,Ecatepec,Mexico,18/03/2020 02:39,0
38.1,33,60641.09,214.38,Optional secondary access,1,Cincinnati,United States,30/05/2020 18:08,1
73.93,42,74180.05,218.22,Quality-focused scalable utilization,0,Makassar,Indonesia,20/02/2020 00:06,0
51.87,52,51869.87,119.65,Team-oriented dynamic forecast,0,Yushan,China,10/03/2020 22:28,1
77.69,20,48852.58,169.88,Horizontal heuristic support,1,Ludhiana,India,21/06/2020 14:32,0
43.41,30,59144.02,160.73,Customer-focused zero-defect process improvement,0,Newcastle,United Kingdom,05/02/2020 15:26,1
55.92,23,33951.63,145.08,Focused systemic benchmark,0,Depok,Indonesia,31/05/2020 21:41,1
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,0,Zhongli,Taiwan,01/01/2020 02:52,0
83.42,23,49850.52,183.42,Advanced heuristic firmware,1,Kansas City,United States,04/03/2020 14:10,0
82.12,50,28679.93,201.15,Fully-configurable client-driven customer loyalty,1,Rabat,Morocco,03/02/2020 10:40,1
66.17,32,69869.66,238.45,Cross-group neutral synergy,0,Ouagadougou,Burkina Faso,20/01/2020 00:26,0
43.01,33,48347.64,127.37,Organized 24/7 middleware,0,Davao,Philippines,11/06/2020 09:37,1
80.05,24,45959.86,219.94,Networked stable open architecture,1,Manhattan,United States,08/03/2020 05:48,0
64.88,44,70005.51,129.8,Customizable systematic service-desk,1,Semarang,Indonesia,14/02/2020 22:23,1
79.82,28,51512.66,223.28,Function-based directional productivity,1,Yinchuan,China,17/07/2020 22:04,0
48.03,39,25598.75,134.6,Networked stable array,1,Multan,Pakistan,02/06/2020 22:16,1
32.99,45,49282.87,177.46,Phased full-range hardware,0,Caloocan City,Philippines,30/04/2020 19:42,1
74.88,26,67240.25,175.17,Organized empowering policy,1,Harare,Zimbabwe,17/04/2020 06:58,0
36.49,51,42136.33,196.61,Object-based system-worthy superstructure,1,Novosibirsk,Russia,09/03/2020 00:41,1
88.04,44,62589.84,191.17,Profound explicit hardware,1,Chengtangcun,China,07/03/2020 20:02,0
45.7,35,67384.31,151.12,Self-enabling multimedia system engine,1,Agra,India,26/05/2020 10:33,1
82.38,33,25603.93,159.6,Polarized analyzing intranet,0,Karaj,Iran,18/07/2020 01:36,1
52.68,22,39616,149.2,Vision-oriented attitude-oriented Internet solution,1,Indianapolis,United States,16/07/2020 05:56,1
65.59,47,28265.81,121.81,Digitized disintermediate ability,0,Jingdezhen,China,22/03/2020 06:41,1
65.65,25,63879.72,224.92,Intuitive explicit firmware,1,Puebla,Mexico,03/06/2020 06:34,0
43.84,35,70592.81,167.42,Public-key real-time definition,0,Kalyan,India,28/06/2020 09:19,1
67.69,38,76408.19,216.57,Monitored content-based implementation,0,Madurai,India,18/07/2020 18:33,0
78.37,25,55015.08,207.27,Quality-focused zero-defect budgetary management,0,Gujranwala,Pakistan,23/01/2020 04:47,0
81.46,30,51636.12,231.54,Intuitive fresh-thinking moderator,0,Benxi,China,29/02/2020 11:00,0
47.48,31,29359.2,141.34,Reverse-engineered 24hour hardware,0,Jamshedpur,India,30/06/2020 00:19,1
75.15,34,71296.67,219.49,Synchronized zero tolerance product,1,Zhuhai,China,19/06/2020 18:19,0
78.76,24,46422.76,219.98,Reactive interactive protocol,1,Recife,Brazil,08/01/2020 08:08,0
44.96,51,52802,132.71,Focused fresh-thinking Graphic Interface,1,Columbus,United States,02/01/2020 12:25,1
39.56,43,59243.46,143.13,Ameliorated exuding solution,1,Tabriz,Iran,13/05/2020 11:57,1
39.76,30,35350.55,196.83,Integrated maximized service-desk,1,Santiago,Dominican Republic,08/02/2020 14:02,1
57.11,24,59677.64,207.17,Self-enabling tertiary challenge,1,Maracaibo,Venezuela,07/06/2020 23:46,0
83.26,38,70225.6,187.76,Decentralized foreground infrastructure,1,Beihai,China,02/01/2020 14:36,0
69.42,26,65791.17,213.38,Quality-focused hybrid frame,0,Shuangyashan,China,13/02/2020 04:16,0
50.6,30,34191.13,129.88,Realigned reciprocal framework,1,Kobe,Japan,03/05/2020 12:57,1
46.2,37,51315.38,119.3,Distributed maximized ability,0,Charlotte,United States,03/04/2020 11:38,1
66.88,36,62790.96,119.47,Polarized bifurcated array,1,Yucheng,China,23/03/2020 19:58,1
83.97,38,66291.67,158.42,Progressive asynchronous adapter,1,Changshu,China,02/02/2020 11:49,0
76.56,30,68030.18,213.75,Business-focused high-level hardware,0,Ximeicun,China,08/03/2020 10:39,0
35.49,47,43974.49,159.77,Fully-configurable holistic throughput,0,Jianguang,China,08/04/2020 14:35,1
80.29,31,49457.48,244.87,Ameliorated contextually-based collaboration,1,Gwangju,"Korea, South",30/06/2020 00:40,0
50.19,40,33987.27,117.3,Progressive uniform budgetary management,0,Xushan,China,25/03/2020 19:02,1
59.12,35,28210.03,124.54,Synergistic stable infrastructure,0,Guiping,China,12/05/2020 21:32,1
59.88,28,75535.14,193.63,Reverse-engineered content-based intranet,1,Nasik,India,02/03/2020 05:11,0
59.7,29,49158.5,120.25,Expanded zero administration attitude,0,Porto Alegre,Brazil,10/05/2020 14:12,1
67.8,30,39809.69,117.75,Team-oriented 6thgeneration extranet,1,Zhangjiajie,China,03/03/2020 02:59,1
81.59,35,65826.53,223.16,Managed disintermediate capability,0,Valencia,Venezuela,04/07/2020 11:03,0
81.1,27,61172.07,216.49,Front-line dynamic model,1,Virginia Beach,United States,08/07/2020 03:47,0
41.7,40,42898.21,126.95,Innovative regional structure,0,Daejeon,"Korea, South",27/05/2020 05:35,1
73.94,26,68333.01,173.49,Function-based incremental standardization,0,Munich,Germany,10/02/2020 13:46,0
58.35,39,70232.95,132.63,Universal asymmetric workforce,0,Yekaterinburg,Russia,12/06/2020 21:21,1
51.56,45,63102.19,124.85,Business-focused client-driven forecast,0,Auckland,New Zealand,07/01/2020 13:58,1
